127.0.0.1 - - [25/Oct/2016:11:57:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:03 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:09 +0530] "GET /ShoppingCartFrontEnd/home HTTP/1.1" 200 11674
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/css/creative.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/1.jpg HTTP/1.1" 200 179016
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/3.jpg HTTP/1.1" 200 25181
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/2.jpg HTTP/1.1" 200 141063
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/4.jpg HTTP/1.1" 200 36061
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/js/creative.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:10 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:11 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:11 +0530] "GET /ShoppingCartFrontEnd/resources/img/header.jpg HTTP/1.1" 200 125976
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:37 +0530] "GET /ShoppingCartFrontEnd/home HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:37 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/css/font-awesome.min.css;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:37 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/magnific-popup.css;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:37 +0530] "GET /ShoppingCartFrontEnd/resources/css/creative.min.css;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:37 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/css/bootstrap.min.css;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/jquery/jquery.min.js;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/js/bootstrap.min.js;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/scrollreveal/scrollreveal.min.js;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/jquery.magnific-popup.min.js;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/js/creative.min.js;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/2.jpg;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 141063
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/4.jpg;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 36061
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/3.jpg;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 25181
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/1.jpg;jsessionid=B3D81A7E6A517BDD1B55856686FF20A2 HTTP/1.1" 200 179016
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/img/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:38 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:11:57:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/home HTTP/1.1" 200 11753
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/css/creative.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/js/creative.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/img/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:00:28 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/home HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/css/creative.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/js/creative.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/img/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2016:12:01:00 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
